date,cams_no2_umol_m2
2020-12-15,61.836735
2020-12-16,73.35474
2020-12-17,53.525124
2020-12-18,49.78761
2020-12-19,71.62478
2020-12-20,66.6239
2020-12-21,55.87751
2020-12-22,61.73588
2020-12-23,58.189735
2020-12-24,54.826145
2020-12-25,55.31608
2020-12-26,61.516884
2020-12-27,82.852165
2020-12-28,117.01616
2020-12-29,102.02554
2020-12-30,94.04349
2020-12-31,75.28477
2021-01-01,59.48544
2021-01-02,55.895386
2021-01-03,58.302002
2021-01-04,51.246555
2021-01-05,63.029533
2021-01-06,80.806175
2021-01-07,77.590576
2021-01-08,74.91312
2021-01-09,66.21959
2021-01-10,72.1978
2021-01-11,65.71548
2021-01-12,68.551094
2021-01-13,65.33874
2021-01-14,55.230293
2021-01-15,54.610397
2021-01-16,51.924767
2021-01-17,55.621014
2021-01-18,64.573746
2021-01-19,72.57482
2021-01-20,49.91552
2021-01-21,44.187103
2021-01-22,64.54236
2021-01-23,80.2576
2021-01-24,101.11942
2021-01-25,77.72582
2021-01-26,62.722065
2021-01-27,59.17228
2021-01-28,72.487816
2021-01-29,49.474735
2021-01-30,52.82819
2021-01-31,61.4788
2021-02-01,48.525467
2021-02-02,57.06254
2021-02-03,62.84124
2021-02-04,65.233765
2021-02-05,53.006504
2021-02-06,48.37023
2021-02-07,52.070244
2021-02-08,41.388268
2021-02-09,51.06044
2021-02-10,42.371346
2021-02-11,41.42303
2021-02-12,37.01977
2021-02-13,45.370983
2021-02-14,39.783188
2021-02-15,37.534855
2021-02-16,40.929688
2021-02-17,54.10714
2021-02-18,50.797726
2021-02-19,54.172207
2021-02-20,64.672966
2021-02-21,51.024277
2021-02-22,41.040115
2021-02-23,43.896988
2021-02-24,47.158653
2021-02-25,45.44836
2021-02-26,45.18463
2021-02-27,51.255234
2021-02-28,45.83875
2021-03-01,56.714165
2021-03-02,46.320446
2021-03-03,47.163853
2021-03-04,50.76408
2021-03-05,46.37371
2021-03-06,44.94035
2021-03-07,49.623825
2021-03-08,57.02641
2021-03-09,49.80886
2021-03-10,53.206226
2021-03-11,65.16497
2021-03-12,59.632538
2021-03-13,46.093708
2021-03-14,48.449783
2021-03-15,52.99198
2021-03-16,51.902412
2021-03-17,47.37283
2021-03-18,47.52842
2021-03-19,47.725533
2021-03-20,51.993725
2021-03-21,56.18994
2021-03-22,52.58589
2021-03-23,60.809242
2021-03-24,62.905746
2021-03-25,53.257004
2021-03-26,52.208035
2021-03-27,47.13022
2021-03-28,40.70216
2021-03-29,44.718384
2021-03-30,40.960426
2021-03-31,43.767887
2021-04-01,43.83374
2021-04-02,51.704247
2021-04-03,44.247566
2021-04-04,45.86371
2021-04-05,42.943077
2021-04-06,47.015385
2021-04-07,40.7134
2021-04-08,39.765026
2021-04-09,41.41658
2021-04-10,39.529285
2021-04-11,47.790913
2021-04-12,46.379093
2021-04-13,50.051727
2021-04-14,45.609993
2021-04-15,48.45923
2021-04-16,46.40605
2021-04-17,50.713776
2021-04-18,49.76752
2021-04-19,46.690025
2021-04-20,40.65134
2021-04-21,38.961884
2021-04-22,42.86159
2021-04-23,42.610783
2021-04-24,44.31817
2021-04-25,43.162098
2021-04-26,45.922558
2021-04-27,49.193237
2021-04-28,43.53124
2021-04-29,41.84801
2021-04-30,46.036964
2021-05-01,52.66104
2021-05-02,51.361935
2021-05-03,47.09195
2021-05-04,54.49422
2021-05-05,44.759315
2021-05-06,43.57425
2021-05-07,41.384666
2021-05-08,43.962036
2021-05-09,57.97512
2021-05-10,39.40928
2021-05-11,49.80247
2021-05-12,46.209904
2021-05-13,43.37031
2021-05-14,47.71413
2021-05-15,46.57255
2021-05-16,46.279694
2021-05-17,48.968987
2021-05-18,45.798813
2021-05-19,44.627037
2021-05-20,43.70769
2021-05-21,50.8834
2021-05-22,45.26191
2021-05-23,41.276516
2021-05-24,45.45599
2021-05-25,48.25172
2021-05-26,48.938553
2021-05-27,42.486996
2021-05-28,46.466434
2021-05-29,42.97197
2021-05-30,49.950535
2021-05-31,47.546425
2021-06-01,42.484776
2021-06-02,43.65966
2021-06-03,46.204826
2021-06-04,47.613876
2021-06-05,43.14434
2021-06-06,44.29738
2021-06-07,43.696404
2021-06-08,42.241215
2021-06-09,49.997017
2021-06-10,46.199608
2021-06-11,46.31643
2021-06-12,49.006367
2021-06-13,49.719982
2021-06-14,47.655327
2021-06-15,50.874905
2021-06-16,53.596745
2021-06-17,55.484566
2021-06-18,47.7099
2021-06-19,48.52439
2021-06-20,53.099957
2021-06-21,54.68586
2021-06-22,51.95518
2021-06-23,53.141624
2021-06-24,54.9134
2021-06-25,51.60733
2021-06-26,51.299877
2021-06-27,46.701004
2021-06-28,44.879368
2021-06-29,45.626087
2021-06-30,42.621403
2021-07-01,45.61644
2021-07-02,49.214733
2021-07-03,54.898697
2021-07-04,50.46213
2021-07-05,49.211716
2021-07-06,47.92106
2021-07-07,42.27679
2021-07-08,42.39309
2021-07-09,45.126003
2021-07-10,44.05954
2021-07-11,47.868423
2021-07-12,48.868484
2021-07-13,48.218166
2021-07-14,46.777855
2021-07-15,39.358833
2021-07-16,42.973778
2021-07-17,57.3572
2021-07-18,58.08507
2021-07-19,48.39061
2021-07-20,49.582253
2021-07-21,53.201393
2021-07-22,48.60603
2021-07-23,45.524643
2021-07-24,45.42104
2021-07-25,46.86391
2021-07-26,48.181786
2021-07-27,51.17921
2021-07-28,46.071526
2021-07-29,43.653133
2021-07-30,43.28534
2021-07-31,42.965904
2021-08-01,44.35329
2021-08-02,43.76606
2021-08-03,44.15525
2021-08-04,47.743828
2021-08-05,42.77985
2021-08-06,43.831524
2021-08-07,48.356045
2021-08-08,45.150375
2021-08-09,41.173626
2021-08-10,41.70793
2021-08-11,41.289722
2021-08-12,41.25901
2021-08-13,45.652836
2021-08-14,40.11044
2021-08-15,42.693077
2021-08-16,43.60554
2021-08-17,40.5958
2021-08-18,47.40612
2021-08-19,52.801098
2021-08-20,44.24118
2021-08-21,44.428867
2021-08-22,44.933777
2021-08-23,45.42477
2021-08-24,45.4673
2021-08-25,48.320755
2021-08-26,49.783104
2021-08-27,55.183983
2021-08-28,51.5293
2021-08-29,49.825718
2021-08-30,60.44424
2021-08-31,55.581196
2021-09-01,54.78068
2021-09-02,52.462708
2021-09-03,41.709156
2021-09-04,46.449787
2021-09-05,50.249214
2021-09-06,50.196766
2021-09-07,47.256954
2021-09-08,54.474068
2021-09-09,52.97739
2021-09-10,55.86879
2021-09-11,60.664845
2021-09-12,52.331715
2021-09-13,55.093105
2021-09-14,54.88097
2021-09-15,57.027508
2021-09-16,63.424458
2021-09-17,51.027943
2021-09-18,48.206116
2021-09-19,52.3524
2021-09-20,47.386047
2021-09-21,43.818043
2021-09-22,52.48224
2021-09-23,50.865044
2021-09-24,51.880146
2021-09-25,43.85655
2021-09-26,40.907967
2021-09-27,46.961136
2021-09-28,49.38102
2021-09-29,53.405186
2021-09-30,53.35801
2021-10-01,55.51549
2021-10-02,51.22898
2021-10-03,57.39026
2021-10-04,51.506542
2021-10-05,55.569786
2021-10-06,57.428192
2021-10-07,59.774895
2021-10-08,55.268833
2021-10-09,48.345627
2021-10-10,46.70547
2021-10-11,46.880375
2021-10-12,51.0544
2021-10-13,46.47941
2021-10-14,46.210674
2021-10-15,45.856033
2021-10-16,49.87478
2021-10-17,51.79575
2021-10-18,55.999176
2021-10-19,50.113167
2021-10-20,38.876125
2021-10-21,40.721455
2021-10-22,46.801163
2021-10-23,45.63644
2021-10-24,43.34893
2021-10-25,48.110935
2021-10-26,46.418316
2021-10-27,51.40077
2021-10-28,51.10219
2021-10-29,58.12062
2021-10-30,59.433292
2021-10-31,57.30904
2021-11-01,51.466053
2021-11-02,52.327137
2021-11-03,49.38357
2021-11-04,51.744175
2021-11-05,58.36813
2021-11-06,51.53893
2021-11-07,50.589695
2021-11-08,50.68455
2021-11-09,57.340015
2021-11-10,68.33641
2021-11-11,60.893364
2021-11-12,54.426563
2021-11-13,53.24643
2021-11-14,61.56294
2021-11-15,63.28654
2021-11-16,51.190773
2021-11-17,50.850986
2021-11-18,55.73921
2021-11-19,59.941307
2021-11-20,61.556988
2021-11-21,52.52994
2021-11-22,54.764664
2021-11-23,53.42784
2021-11-24,60.395
2021-11-25,76.61131
2021-11-26,62.052517
2021-11-27,48.675045
2021-11-28,62.605724
2021-11-29,47.92563
2021-11-30,68.61164
